사번,작업일,쿼리(일부)
O1306464,29-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 2"
O1306464,29-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,29-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,29-MAR-17,"SELECT B.GD_USE_TC 상품용도코드
, B.CNO 고객번호
, B.LN_ACNO 대출계약"
O1306464,29-MAR-17,"SELECT B.GD_USE_TC 상품용도코드
, B.CNO 고객번호
, B.LN_ACNO 대출계약"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLI006
WHERE ORG_C = '001'
AND TR_DATE = '20170328'
A"
O1306464,29-MAR-17,"SELECT A.LN_ACNO
, A.CNO
, A.LN_BAL
, (SELECT APRV_AMT FROM HL"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLI006
WHERE ORG_C = '001'
AND TR_DATE = '20170324'
A"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLI006
WHERE ORG_C = '001'
AND TR_DATE = '20170323'
A"
O1306464,29-MAR-17,"SELECT B.*
FROM HLD.HLR000 A
, HLD.HLR045 B
WHERE A.ORG_C = A.ORG_C"
O1306464,29-MAR-17,"SELECT B.LN_ACNO, B.LN_BAL, B.LN_PROC_STAT_C, B.GRUP_GD_NO
, (SELECT INT_BR"
O1306464,29-MAR-17,"SELECT B.GD_MTHD_TC, B.GD_USE_TC, B.MNG_BR_C, B.ADV_DATE
, (SELECT BRNM FRO"
O1306464,29-MAR-17,"SELECT C.PLR_MGE_YN, C.IAMT_TURN, A.MRTG_DP_ACNO, B.IAMT_TURN, A.*, C.*
FROM H"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLI006
WHERE ORG_C = '001'
AND TR_DATE = '20170322'
A"
O1306464,29-MAR-17,"SELECT
--       SUM(A.ASK_AMT)
A.CC_PROC_RSLT_C
, A.CC_PROC_YN"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLI006
WHERE ORG_C = '001'
AND TR_DATE = '20170327'
A"
O1306464,29-MAR-17,"SELECT
--       SUM(A.ASK_AMT)
A.CC_PROC_RSLT_C
, A.CC_PROC_YN"
O1306464,29-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,29-MAR-17,"SELECT /*+ rule */ o.table_name, decode(partitioned, 'YES', 1, 0), decode(cluste"
O1306464,29-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,29-MAR-17,"SELECT * FROM SYS.ALL_TABLES"
O1306464,29-MAR-17,"SELECT 1 FROM SESSION_ROLES WHERE ROLE = 'SELECT_CATALOG_ROLE' UNION ALL SELECT"
O1306464,29-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_TABLES"
O1306464,29-MAR-17,"SELECT /*+ rule */ username from sys.all_users ORDER BY 1"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_OPTION"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_SQL_LOGGING"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_SECURITY_OPTION"
O1306464,29-MAR-17,"SELECT A.LN_ACNO
, A.CNO
, A.LN_BAL
, (SELECT APRV_AMT FROM HL"
O1306464,29-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,29-MAR-17,"SELECT /*+ rule */ o.table_name, decode(partitioned, 'YES', 1, 0), decode(cluste"
O1306464,29-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,29-MAR-17,"SELECT * FROM SYS.ALL_TABLES"
O1306464,29-MAR-17,"SELECT 1 FROM SESSION_ROLES WHERE ROLE = 'SELECT_CATALOG_ROLE' UNION ALL SELECT"
O1306464,29-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_TABLES"
O1306464,29-MAR-17,"SELECT /*+ rule */ username from sys.all_users ORDER BY 1"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_OPTION"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_SQL_LOGGING"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_SECURITY_OPTION"
O1306464,29-MAR-17,"begin DBMS_APPLICATION_INFO.SET_MODULE(:Module,:Action); end;
=================="
O1306464,29-MAR-17,"ALTER SESSION SET NLS_LANGUAGE='KOREAN'
NLS_TERRITORY='KOREA'
NLS_CURRENCY='￦'"
O1306464,29-MAR-17,"begin DBMS_APPLICATION_INFO.SET_MODULE(:Module,:Action); end;
=================="
O1306464,29-MAR-17,"ALTER SESSION SET NLS_LANGUAGE='KOREAN'
NLS_TERRITORY='KOREA'
NLS_CURRENCY='￦'"
O1306464,29-MAR-17,"select * from v$nls_parameters"
O1306464,29-MAR-17,"SELECT host_name, instance_name FROM v$instance"
O1306464,29-MAR-17,"select name, value from v$parameter where name = 'user_dump_dest"
O1306464,29-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 2"
O1306464,29-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,29-MAR-17,"select * from v$nls_parameters"
O1306464,29-MAR-17,"SELECT host_name, instance_name FROM v$instance"
O1306464,29-MAR-17,"select name, value from v$parameter where name = 'user_dump_dest"
O1306464,29-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 2"
O1306464,29-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,29-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,29-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLR000 A
, HLD.HLR045 B
WHERE A.ORG_C = B.ORG_C"
O1306464,29-MAR-17,"SELECT A.LN_ACNO
, TO_CHAR(TO_DATE(A.TR_DATE), 'YYYY-MM-DD') 거래일자"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLR000 A
WHERE A.ORG_C = '001'
AND A.LN_PROC_STAT_C LIKE"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLR000 A
, HLD.HLR045 B
WHERE A.ORG_C = B.ORG_C
AND"
O1306464,29-MAR-17,"SELECT A.ORG_C, A.LN_ACNO, A.DDAY_PRFT_FRFT_DATE, A.DDAY_PRFT_FRFT_RVVL_RSN_C 사"
O1306464,29-MAR-17,"SELECT A.LN_ACNO
, TO_CHAR(TO_DATE(A.TR_DATE), 'YYYY-MM-DD') 거래일자"
O1306464,29-MAR-17,"SELECT *
FROM HLD.HLR000 A
, HLD.HLR045 B
WHERE A.ORG_C = B.ORG_C"
O1306464,29-MAR-17,"SELECT DDAY_PRFT_FRFT_RVVL_TC, NEXT_INT_PAY_DATE, PRSC_END_DATE, GRUP_GD_NO, LN_"
O1306464,29-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,29-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,29-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,29-MAR-17,"SELECT /*+ rule */ o.table_name, decode(partitioned, 'YES', 1, 0), decode(cluste"
O1306464,29-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,29-MAR-17,"SELECT * FROM SYS.ALL_TABLES"
O1306464,29-MAR-17,"SELECT 1 FROM SESSION_ROLES WHERE ROLE = 'SELECT_CATALOG_ROLE' UNION ALL SELECT"
O1306464,29-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_TABLES"
O1306464,29-MAR-17,"SELECT /*+ rule */ username from sys.all_users ORDER BY 1"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_OPTION"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_SQL_LOGGING"
O1306464,29-MAR-17,"SELECT * FROM ORANGE.ORANGE_SECURITY_OPTION"
O1306464,29-MAR-17,"begin DBMS_APPLICATION_INFO.SET_MODULE(:Module,:Action); end;
=================="
O1306464,29-MAR-17,"ALTER SESSION SET NLS_LANGUAGE='KOREAN'
NLS_TERRITORY='KOREA'
NLS_CURRENCY='￦'"
O1306464,29-MAR-17,"select * from v$nls_parameters"
O1306464,29-MAR-17,"SELECT host_name, instance_name FROM v$instance"
O1306464,29-MAR-17,"select name, value from v$parameter where name = 'user_dump_dest"
O1306464,29-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 2"
O1306464,29-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,29-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,29-MAR-17,"SELECT A.*
FROM HLD.HLR045 A
WHERE ORG_C = '001'
AND LN_ACNO = '6214010300"
O1306464,29-MAR-17,"SELECT A.CC_BUSI_TC || A.CC_BUSI_DTL_CLAS_C CC업무코드
, DECODE(A.CC_BUSI_T"
O1306464,28-MAR-17,"select dbms_transaction.local_transaction_id from dual"
O1306464,28-MAR-17,"select dbms_transaction.local_transaction_id from dual"
O1306464,28-MAR-17,"select dbms_transaction.local_transaction_id from dual"
O1306464,28-MAR-17,"select dbms_transaction.local_transaction_id from dual"
O1306464,28-MAR-17,"select dbms_transaction.local_transaction_id from dual"
O1306464,28-MAR-17,"select * from hld.hlr045
WHERE ORG_C = '001'
AND LN_ACNO = '6214010300060"
O1306464,28-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,28-MAR-17,"SELECT /*+ rule */ o.table_name, decode(partitioned, 'YES', 1, 0), decode(cluste"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM SYS.ALL_TABLES"
O1306464,28-MAR-17,"SELECT 1 FROM SESSION_ROLES WHERE ROLE = 'SELECT_CATALOG_ROLE' UNION ALL SELECT"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_TABLES"
O1306464,28-MAR-17,"SELECT /*+ rule */ username from sys.all_users ORDER BY 1"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_OPTION"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SQL_LOGGING"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SECURITY_OPTION"
O1306464,28-MAR-17,"begin DBMS_APPLICATION_INFO.SET_MODULE(:Module,:Action); end;
=================="
O1306464,28-MAR-17,"ALTER SESSION SET NLS_LANGUAGE='KOREAN'
NLS_TERRITORY='KOREA'
NLS_CURRENCY='￦'"
O1306464,28-MAR-17,"select * from v$nls_parameters"
O1306464,28-MAR-17,"SELECT host_name, instance_name FROM v$instance"
O1306464,28-MAR-17,"select name, value from v$parameter where name = 'user_dump_dest"
O1306464,28-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 2"
O1306464,28-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,28-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,28-MAR-17,"SELECT *
FROM HLD.HLR000 A
, HLD.HLR045 B
WHERE A.ORG_C = B.ORG_C"
O1306464,28-MAR-17,"SELECT B.*
FROM HLD.HLR000 A
, HLD.HLR045 B
WHERE A.ORG_C = A.ORG_C"
O1306464,28-MAR-17,"SELECT *
FROM HLD.HLA125 A
, SOD.SOUSER B
WHERE A.ORG_C = '001'
AND A"
O1306464,28-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,28-MAR-17,"SELECT /*+ rule */ o.table_name, decode(partitioned, 'YES', 1, 0), decode(cluste"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM SYS.ALL_TABLES"
O1306464,28-MAR-17,"SELECT 1 FROM SESSION_ROLES WHERE ROLE = 'SELECT_CATALOG_ROLE' UNION ALL SELECT"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_TABLES"
O1306464,28-MAR-17,"SELECT /*+ rule */ username from sys.all_users ORDER BY 1"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_OPTION"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SQL_LOGGING"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SECURITY_OPTION"
O1306464,28-MAR-17,"begin DBMS_APPLICATION_INFO.SET_MODULE(:Module,:Action); end;
=================="
O1306464,28-MAR-17,"ALTER SESSION SET NLS_LANGUAGE='KOREAN'
NLS_TERRITORY='KOREA'
NLS_CURRENCY='￦'"
O1306464,28-MAR-17,"select * from v$nls_parameters"
O1306464,28-MAR-17,"SELECT host_name, instance_name FROM v$instance"
O1306464,28-MAR-17,"select name, value from v$parameter where name = 'user_dump_dest"
O1306464,28-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 2"
O1306464,28-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,28-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,28-MAR-17,"SELECT B.LN_ACNO, B.LN_BAL, B.LN_PROC_STAT_C, B.GRUP_GD_NO
, (SELECT INT_BR"
O1306464,28-MAR-17,"SELECT B.GD_MTHD_TC, B.GD_USE_TC, B.MNG_BR_C, B.ADV_DATE
, (SELECT BRNM FRO"
O1306464,28-MAR-17,"SELECT C.PLR_MGE_YN, C.IAMT_TURN, A.MRTG_DP_ACNO, B.IAMT_TURN, A.*, C.*
FROM H"
O1306464,28-MAR-17,"SELECT A.ORG_C, A.LN_ACNO, A.DDAY_PRFT_FRFT_DATE, A.DDAY_PRFT_FRFT_RVVL_RSN_C 사"
O1306464,28-MAR-17,"SELECT ORG_C, LN_ACNO, DDAY_PRFT_FRFT_DATE, A.*
FROM HLD.HLR000 A
WHERE O"
O1306464,28-MAR-17,"SELECT A.*
FROM HLD.HLR045 A
WHERE ORG_C = '001'
AND LN_ACNO = '6214010300"
O1306464,28-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,28-MAR-17,"SELECT /*+ rule */ o.table_name, decode(partitioned, 'YES', 1, 0), decode(cluste"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM SYS.ALL_TABLES"
O1306464,28-MAR-17,"SELECT 1 FROM SESSION_ROLES WHERE ROLE = 'SELECT_CATALOG_ROLE' UNION ALL SELECT"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_TABLES"
O1306464,28-MAR-17,"SELECT /*+ rule */ username from sys.all_users ORDER BY 1"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_OPTION"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SQL_LOGGING"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SECURITY_OPTION"
O1306464,28-MAR-17,"begin DBMS_APPLICATION_INFO.SET_MODULE(:Module,:Action); end;
=================="
O1306464,28-MAR-17,"ALTER SESSION SET NLS_LANGUAGE='KOREAN'
NLS_TERRITORY='KOREA'
NLS_CURRENCY='￦'"
O1306464,28-MAR-17,"select * from v$nls_parameters"
O1306464,28-MAR-17,"SELECT host_name, instance_name FROM v$instance"
O1306464,28-MAR-17,"select name, value from v$parameter where name = 'user_dump_dest"
O1306464,28-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 3"
O1306464,28-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,28-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,28-MAR-17,"SELECT A.LN_ACNO
, A.CNO
, A.LN_BAL
, (SELECT APRV_AMT FROM HL"
O1306464,28-MAR-17,"SELECT A.*
FROM HLD.HLR045 A
WHERE ORG_C = '001'
AND LN_ACNO = '6214010300"
O1306464,28-MAR-17,"SELECT *
FROM HLD.HLB080
WHERE ORG_C = '001'
AND LN_ACNO = '62140103000600"
O1306464,28-MAR-17,"SELECT DDAY_PRFT_FRFT_RVVL_TC, NEXT_INT_PAY_DATE, PRSC_END_DATE, GRUP_GD_NO, LN_"
O1306464,28-MAR-17,"SELECT *
FROM HLD.HLR000 A
WHERE A.ORG_C = '001'
AND A.LN_PROC_STAT_C LIKE"
O1306464,28-MAR-17,"SELECT A.LN_ACNO
, A.CNO
, A.LN_BAL
, (SELECT APRV_AMT FROM HL"
O1306464,28-MAR-17,"SELECT /*+ rule */ col.column_name, col.data_type, col.data_length, col.data_pre"
O1306464,28-MAR-17,"SELECT A.LN_ACNO
, TO_CHAR(TO_DATE(A.TR_DATE), 'YYYY-MM-DD') 거래일자"
O1306464,28-MAR-17,"SELECT A.*
FROM HLD.HLR045 A
WHERE ORG_C = '001'
AND LN_ACNO = '6214010300"
O1306464,28-MAR-17,"SELECT *
FROM HLD.HLB080
WHERE ORG_C = '001'
AND CNO = '21137293'"
O1306464,28-MAR-17,"SELECT *
FROM HLD.HLR000 A
, HLD.HLR045 B
WHERE A.ORG_C = B.ORG_C
AND"
O1306464,28-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,28-MAR-17,"SELECT /*+ rule */ o.table_name, decode(partitioned, 'YES', 1, 0), decode(cluste"
O1306464,28-MAR-17,"ALTER SESSION SET NLS_LANGUAGE='KOREAN'
NLS_TERRITORY='KOREA'
NLS_CURRENCY='￦'"
O1306464,28-MAR-17,"select * from v$nls_parameters"
O1306464,28-MAR-17,"SELECT host_name, instance_name FROM v$instance"
O1306464,28-MAR-17,"select name, value from v$parameter where name = 'user_dump_dest"
O1306464,28-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 2"
O1306464,28-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,28-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM SYS.ALL_TABLES"
O1306464,28-MAR-17,"SELECT 1 FROM SESSION_ROLES WHERE ROLE = 'SELECT_CATALOG_ROLE' UNION ALL SELECT"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_TABLES"
O1306464,28-MAR-17,"SELECT /*+ rule */ username from sys.all_users ORDER BY 1"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_OPTION"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SQL_LOGGING"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SECURITY_OPTION"
O1306464,28-MAR-17,"begin DBMS_APPLICATION_INFO.SET_MODULE(:Module,:Action); end;
=================="
O1306464,28-MAR-17,"SELECT *
FROM HLD.HLX910
WHERE ORG_C = '001'
AND PF_ID IN ("
O1306464,28-MAR-17,"SELECT A.CC_BUSI_TC || A.CC_BUSI_DTL_CLAS_C CC업무코드
, DECODE(A.CC_BUSI_T"
O1306464,28-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,28-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,28-MAR-17,"SELECT /*+ RULE */ * FROM sys.USER_USERS WHERE USERNAME = :user_name
==========="
O1306464,28-MAR-17,"SELECT /*+ rule */ o.table_name, decode(partitioned, 'YES', 1, 0), decode(cluste"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT * FROM SYS.ALL_TABLES"
O1306464,28-MAR-17,"SELECT 1 FROM SESSION_ROLES WHERE ROLE = 'SELECT_CATALOG_ROLE' UNION ALL SELECT"
O1306464,28-MAR-17,"SELECT /*+ rule */ column_name, data_type, data_length, data_precision, data_sca"
O1306464,28-MAR-17,"SELECT A.ORG_C, A.LN_ACNO, A.DDAY_PRFT_FRFT_DATE, A.DDAY_PRFT_FRFT_RVVL_RSN_C 사"
O1306464,28-MAR-17,"SELECT B.LN_ACNO, B.LN_BAL, B.LN_PROC_STAT_C, B.GRUP_GD_NO
, (SELECT INT_BR"
O1306464,28-MAR-17,"SELECT *
FROM HLD.HLR000
WHERE ORG_C = '001'
AND EXMP_DATE IS NOT NULL"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_TABLES"
O1306464,28-MAR-17,"SELECT /*+ rule */ username from sys.all_users ORDER BY 1"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_OPTION"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SQL_LOGGING"
O1306464,28-MAR-17,"SELECT * FROM ORANGE.ORANGE_SECURITY_OPTION"
O1306464,28-MAR-17,"begin DBMS_APPLICATION_INFO.SET_MODULE(:Module,:Action); end;
=================="
O1306464,28-MAR-17,"ALTER SESSION SET NLS_LANGUAGE='KOREAN'
NLS_TERRITORY='KOREA'
NLS_CURRENCY='￦'"
O1306464,28-MAR-17,"select * from v$nls_parameters"
O1306464,28-MAR-17,"SELECT host_name, instance_name FROM v$instance"
O1306464,28-MAR-17,"select name, value from v$parameter where name = 'user_dump_dest"
O1306464,28-MAR-17,"select s.serial#, p.spid, s.server from v$session s, v$process p where s.sid = 2"
O1306464,28-MAR-17,"SELECT userenv('instance'), sid FROM v$mystat WHERE ROWNUM <= 1"
O1306464,28-MAR-17,"SELECT /*+ leading(s) */ inst_id, sid, serial#, ospid, orange.orange_fn_host_nam"
O1306464,28-MAR-17,"SELECT A.*
FROM HLD.HLR045 A
WHERE ORG_C = '001'
AND LN_ACNO = '6214070900"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"select 'ANY' from session_privs where privilege in ('SELECT ANY TABLE', 'ALTER A"
O1503832,31-MAR-17,"select 'DBA' from session_privs where privilege = 'SELECT ANY DICTIONARY'"
O1503832,31-MAR-17,"select 'DBA' from session_roles where role in ('DBA', 'SELECT_CATALOG_ROLE', 'BE"
O1503832,31-MAR-17,"select '*' from sys.all_tables where owner = 'SYSTEM' and table_name = 'BENTHIC_"
O1503832,31-MAR-17,"select user from dual"
O1503832,31-MAR-17,"select limit from user_resource_limits where resource_name = 'IDLE_TIME'"
O1503832,31-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"SELECT A.ORG_C,
A.EBIL_NO 환어음번호 ,
decod"
O1503832,31-MAR-17,"select 'ANY' from session_privs where privilege in ('SELECT ANY TABLE', 'ALTER A"
O1503832,31-MAR-17,"select 'DBA' from session_privs where privilege = 'SELECT ANY DICTIONARY'"
O1503832,31-MAR-17,"select 'DBA' from session_roles where role in ('DBA', 'SELECT_CATALOG_ROLE', 'BE"
